woonplaats,area_ha
Lekkum,239.08663573459899
Miedum,292.5615624070481
Snakkerburen,31.14045228894991
Hempens,90.28194729715021
Teerns,2.9631566432499423
Swichum,177.89941696500085
Wytgaard,741.5381454859524
Tzum,1420.2548873503467
Hitzum,429.1127524109457
Achlum,762.2669578134528
Herbaijum,305.22297945339733
Franeker,1817.211923363555
Zweins,204.57203556940092
Peins,406.2151380327486
Schalsum,342.0795814558986
Ried,317.38307503064755
Boer,211.09197222945028
Dongjum,349.7542023625532
Sexbierum,1083.0731166645755
Pietersbierum,583.1215029212065
Oosterbierum,544.8973979417301
Klooster Lidlum,252.93059136279706
Tzummarum,1154.7229873427984
Firdgum,244.82244460698158
Bakhuizen,290.96985284755124
Balk,499.4961300192443
Elahuizen,1028.2485113822997
Harich,1723.2239920457519
Kolderwolde,476.1813847184007
Mirns,370.2429392567652
Nijemirdum,758.3856624137034
Oudega,3706.6366350399985
Oudemirdum,1364.6804464933255
Rijs,542.377030232863
Ruigahuizen,433.744504345101
Sloten,519.7952623844521
Sondel,962.8916496482262
Wijckel,1170.8719496729902
Blesdijke,1561.5078589594023
Boijl,1753.5999411874975
De Blesse,225.23671620809915
De Hoeve,764.1214977904028
Langelille,627.0020020918994
Munnekeburen,788.1207001100042
Nijeholtpade,865.115719740448
Nijeholtwolde,847.0228028627025
Nijelamer,848.556408923604
Nijetrijne,793.6744211336503
Noordwolde,1241.9167481636537
Oldeholtpade,988.9514403020509
Oldeholtwolde,1023.1356036695037
Oldelamer,1719.763074499444
Oldetrijne,988.7077904885987
Oosterstreek,447.45812076019917
Peperga,315.5576527596007
Scherpenzeel,431.29611362040055
Slijkenburg,5.768572554800052
Sonnega,598.7274875948991
Spanga,998.8978076658977
Steggerda,1541.3511890617951
Ter Idzard,841.4684384335991
Vinkega,516.3281979429029
Wolvega,1319.2745236694018
Zandhuizen,792.05848534335
Appelscha,3954.056764240979
Donkerbroek,2230.646996319249
Elsloo,1773.1869683159061
Fochteloo,1977.4795332644503
Langedijke,476.2894970204523
Makkinga,1658.895894081101
Nijeberkoop,1218.5002034455422
Oldeberkoop,1833.514327726908
Oosterwolde,3106.3282559380496
Ravenswoud,1296.6126496172037
Waskemeer,577.8058392170461
Workum,2134.655617402229
Koudum,1584.3828680709528
Molkwerum,1078.5857351661775
Hindeloopen,589.0805316961487
Stavoren,375.63635175987196
Hemelum,1225.9879581561067
Warns,1136.5884414913573
Nijhuizum,479.8139881129993
It Heidenskip,2663.8777744719023
Baaium,214.658585362249
Baard,255.8084322065498
Bears,246.48034873554852
Boazum,773.4846980815483
Britswert,426.324066659605
Easterein,792.5794149107012
Easterlittens,620.8066815333025
Easterwierrum,447.4906500974982
Hidaard,245.79715830469854
Hilaard,491.7864260662524
Hinnaard,232.98522413279787
Húns,318.0233091099507
Iens,292.5351062046997
Itens,256.5267765208021
Jellum,324.73636511330056
