Woonplaats,Totaal Aantal Aansluitingen,Totaal Hittevraag (MWh/jaar),Totale Lengte Netwerk (m),Totale Lengte Aansluitingen (m)
Franeker,5115,78889.67369560001,249398.31818841456,80574.1264928573
Sexbierum,653,9213.1271705,37657.133345966686,10081.218878710199
Wolvega,5027,65565.147338,229268.5386455194,81718.17952013662
Oosterwolde,3724,48847.997446099995,195766.3189654566,64916.274669600585
Bolsward,4100,68222.22085099999,173456.7869709445,60900.17407587616
Lemmer,4370,69487.76645119999,209370.973956444,67924.33561921638
Burgum,3386,48513.03997029999,167288.43832868,60295.89853122187
Joure,5005,63971.615995399996,236505.64616474157,81740.35357585683
Berltsum,1000,13210.2666991,52034.093801458934,15746.873262341538
Harlingen,5778,95960.17415420001,253371.23398529476,87318.26767496084
Drachten,16166,233144.554424,792045.0289650388,258031.3064179079
Dokkum,5123,74555.2348936,226251.38971800468,80083.38395569641
Sneek,11451,169566.02363460002,521669.95677095366,179830.64863178032
Heerenveen,10548,163385.75343810002,528040.7108231417,167262.2294949362
Leeuwarden,29631,531546.7317686,1339604.4086695649,450818.9116779361
